NUMERO|DESCRIPCION|TIPOPARTE|ALMACEN|EXISTENCIA|COSTOUNITARIO|COSTO|PRECIO|ULTIMACOMPRA|ULTIMAVENTA|FECHAALTA|CLASIFICACION
908782L700          |TOPE PUERTA TRA               |REFACCI                       |VILLAHERM      |5|34.46|172.30|88.79|18/11/20|//|03/02/11|Obsoleto  |
166188H800          |JUNTA TORICA BO               |REFACCI                       |VILLAHERM      |5|55.71|278.55|118.97|23/06/23|01/11/23|03/11/01|Rapido    |
EML10W30DSDD        |AC DIES 946 10W               |LUBRICA                       |VILLAHERM      |83|91.78|7617.74|131.31|30/10/24|25/10/24|03/04/16|Rapido    |
D40609HM0B          |KIT BALAT FREN/               |REFACCI                       |VILLAHERM      |3|1768.03|5304.09|3038.79|26/04/24|27/01/24|03/02/14|Lento     |
545004CA2A          |BRAZ SUSP INF D               |REFACCI                       |VILLAHERM      |2|2856.03|5712.06|5030.17|13/09/24|17/08/24|03/08/21|Rapido    |
543206LB0A          |AISLADOR MONTAJ               |REFACCI                       |VILLAHERM      |7|334.17|2339.19|556.03|05/06/24|30/05/24|03/02/19|Rapido    |
24410ZW40C          |BATERIA N17X                  |REFACCI                       |VILLAHERM      |32|2058.10|65859.20|2685.34|29/10/24|28/10/24|03/09/11|Rapido    |
132025JJ0A          |VALVULA SALIDA                |REFACCI                       |VILLAHERM      |3|155.39|466.17|234.48|09/02/24|29/02/24|03/04/18|Obsoleto  |
132649N00B          |CUBIERTA BALANC               |REFACCI                       |VILLAHERM      |1|687.26|687.26|2198.28|31/08/21|24/09/21|03/03/08|Obsoleto  |
MA25565R17DD        |LLANTA 255 65R1               |REFACCI                       |VILLAHERM      |3|3915.08|11745.24|4603.45|29/10/24|11/07/24|03/12/20|Lento     |
402024KH1A          |MAZA RUEDA DELA               |REFACCI                       |VILLAHERM      |1|7437.98|7437.98|13616.38|06/05/24|28/09/23|03/06/14|Obsoleto  |
140351HK0A          |EMPAQUE DE MULT               |REFACCI                       |VILLAHERM      |2|344.64|689.28|625.00|19/10/24|09/10/24|03/07/10|Rapido    |
769224KH0A          |RIBETE LART/DEL               |REFACCI                       |VILLAHERM      |1|704.59|704.59|1284.48|27/05/24|25/04/24|03/06/14|Lento     |
135101KC1A          |SELLO ACEIT/CIG               |REFACCI                       |VILLAHERM      |2|176.90|353.80|331.03|10/06/24|25/05/24|03/01/12|Rapido    |
56115EB70A          |SOPORTE AMORTIG               |REFACCI                       |VILLAHERM      |4|274.05|1096.20|508.62|08/08/24|15/07/24|03/08/08|Rapido    |
271505Z000          |RESISTOR ELECTR               |REFACCI                       |VILLAHERM      |1|903.38|903.38|2469.83|30/06/22|13/12/18|03/02/03|Obsoleto  |
NIMEXU04Q6DD        |SHAMP LIMPIA PA               |REFACCI                       |VILLAHERM      |723|29.61|21408.03|39.48|29/10/24|31/10/24|03/05/22|Rapido    |
49180EA000          |SOPORTE                       |REFACCI                       |VILLAHERM      |1|1004.49|1004.49|1870.69|18/04/24|20/04/24|03/11/04|Lento     |
432341HA0A          |TAPACUBOS RUEDA               |REFACCI                       |VILLAHERM      |1|179.52|179.52|325.86|24/10/24|07/10/24|03/07/10|Rapido    |
255544KH2C          |CABLE BOLSA AIR               |REFACCI                       |VILLAHERM      |1|1409.64|1409.64|2500.00|25/10/24|09/10/24|03/04/18|Rapido    |
46531ET000          |COJIN PEDAL                   |REFACCI                       |VILLAHERM      |1|302.28|302.28|836.21|08/03/21|16/08/17|03/06/06|Obsoleto  |
T99B16CA0A          |BUMPER TRAS CHR               |ACCESOR                       |VILLAHERM      |1|1645.90|1645.90|2461.21|19/05/23|//|03/11/18|Obsoleto  |
265504KH0A          |LAMP/DIRECCIONA               |REFACCI                       |VILLAHERM      |2|1222.35|2444.70|2224.14|24/10/24|21/10/24|03/04/14|Rapido    |
C71205X00A          |KIT DE UNICO US               |REFACCI                       |VILLAHERM      |1|354.76|354.76|0.00|22/09/23|12/09/23|03/07/22|Obsoleto  |
265504KH1A          |CALAVERA DERECH               |REFACCI                       |VILLAHERM      |1|680.80|680.80|1094.83|06/09/24|17/08/24|03/08/16|Rapido    |
10120ZT70J          |ANTICONGELANTE                |REFACCI                       |VILLAHERM      |85|69.41|5899.85|104.41|09/10/24|31/10/24|03/09/10|Rapido    |
KN1004001011        |LIQUIDO DE FREN               |REFACCI                       |VILLAHERM      |1|568.80|568.80|969.83|26/02/24|22/03/22|03/03/20|Obsoleto  |
254111FC0B          |INTERRP/CRIST-A               |REFACCI                       |VILLAHERM      |1|181.94|181.94|551.72|13/08/20|26/08/20|03/10/14|Obsoleto  |
3N3J25R000          |LODERAS 4 PIEZ                |ACCESOR                       |VILLAHERM      |2|1551.57|3103.14|2383.62|14/08/24|18/10/24|03/09/20|Rapido    |
G68E05RY0B          |FALDON LATERAL                |ACCESOR                       |VILLAHERM      |1|6517.33|6517.33|8146.55|03/10/24|13/08/24|03/11/21|Medio     |
272109ES5A          |SOPLADOR AIRE A               |REFACCI                       |VILLAHERM      |1|11572.74|11572.74|19504.31|09/04/24|17/04/24|03/05/21|Lento     |
828309KE1A          |SELL HULE PTA/T               |REFACCI                       |VILLAHERM      |1|246.15|246.15|500.00|31/03/23|15/04/23|03/06/13|Obsoleto  |
0155302903          |CLIP MOLDURA                  |REFACCI                       |VILLAHERM      |1|36.38|36.38|65.09|03/06/24|05/06/24|03/08/97|Rapido    |
265555EF0A          |LAMP DIRECC TRA               |REFACCI                       |VILLAHERM      |2|1613.64|3227.28|2103.45|02/10/24|19/12/23|03/10/18|Lento     |
62225EM30A          |SOPORTE DEFENSA               |REFACCI                       |VILLAHERM      |1|97.81|97.81|172.41|17/04/24|01/04/24|03/01/06|Medio     |
T99D96RR0A          |PROTECTORES DE MANIJA         |ACCESOR                       |VILLAHERM      |1|290.00|290.00|474.14|31/10/24|//|29/10/24|Nuevo     |
242701HK0A          |PROTECTOR ARNES               |REFACCI                       |VILLAHERM      |1|50.36|50.36|99.13|11/06/21|//|03/08/10|Obsoleto  |
0155302923          |CLIP                          |REFACCI                       |VILLAHERM      |4|39.23|156.92|97.41|31/08/22|29/05/24|03/08/97|Obsoleto  |
224011HC1B          |BUJIA                         |REFACCI                       |VILLAHERM      |31|145.88|4522.28|242.74|09/10/24|25/10/24|03/07/10|Rapido    |
3N3C35RB0A          |TAPETE VINIL CA               |ACCESOR                       |VILLAHERM      |1|1160.46|1160.46|1745.69|16/07/24|26/10/24|03/07/16|Rapido    |
NIMEXU15Q4DD        |ACEITE SUPER PE               |ACCESOR                       |VILLAHERM      |24|77.56|1861.44|94.83|29/10/24|07/10/24|03/10/15|Rapido    |
550209KZ0B          |RESORTE SUSP TR               |REFACCI                       |VILLAHERM      |4|288.86|1155.44|465.52|15/01/24|15/10/24|03/10/19|Rapido    |
489889KS7A          |SOPORTE                       |REFACCI                       |VILLAHERM      |1|947.23|947.23|1719.83|05/08/23|//|03/03/17|Obsoleto  |
KWA0A50P11          |Nismo pants                   |ACCESOR                       |VILLAHERM      |2|800.00|1600.00|1000.00|04/03/24|//|06/01/24|Lento     |
KWA0A50P12          |Nismo pants                   |ACCESOR                       |VILLAHERM      |2|800.00|1600.00|1000.00|04/03/24|//|06/01/24|Lento     |
KWA0A50P13          |Nismo pants                   |ACCESOR                       |VILLAHERM      |2|800.00|1600.00|1000.00|04/03/24|//|06/01/24|Lento     |
